List of all the Station (Stop) IDs existing on the iRail API and the "irail_stations.json" file.
These stations are available on the Online Getter used by the iRail API example,
unless a Stop/Station is closed after building these files.
Last update: Sat, 20 Apr 2019 17:57:21 (UTC)

 iRail Station ID | PyBuses Stop ID
BE.NMBS.008814415 | 8814415
BE.NMBS.008814423 | 8814423
BE.NMBS.008814431 | 8814431
BE.NMBS.008814449 | 8814449
BE.NMBS.008814456 | 8814456
BE.NMBS.008814464 | 8814464
BE.NMBS.008814472 | 8814472
BE.NMBS.008815016 | 8815016
BE.NMBS.008815040 | 8815040
BE.NMBS.008819406 | 8819406
BE.NMBS.008821006 | 8821006
BE.NMBS.008821022 | 8821022
BE.NMBS.008821030 | 8821030
BE.NMBS.008821048 | 8821048
BE.NMBS.008821063 | 8821063
BE.NMBS.008821071 | 8821071
BE.NMBS.008821089 | 8821089
BE.NMBS.008821105 | 8821105
BE.NMBS.008821121 | 8821121
BE.NMBS.008821147 | 8821147
BE.NMBS.008821154 | 8821154
BE.NMBS.008821196 | 8821196
BE.NMBS.008821238 | 8821238
BE.NMBS.008821246 | 8821246
BE.NMBS.008821311 | 8821311
BE.NMBS.008821337 | 8821337
BE.NMBS.008821402 | 8821402
BE.NMBS.008821436 | 8821436
BE.NMBS.008821444 | 8821444
BE.NMBS.008821451 | 8821451
BE.NMBS.008821519 | 8821519
BE.NMBS.008821535 | 8821535
BE.NMBS.008821543 | 8821543
BE.NMBS.008821600 | 8821600
BE.NMBS.008821634 | 8821634
BE.NMBS.008821659 | 8821659
BE.NMBS.008821667 | 8821667
BE.NMBS.008821709 | 8821709
BE.NMBS.008821717 | 8821717
BE.NMBS.008821725 | 8821725
BE.NMBS.008821816 | 8821816
BE.NMBS.008821824 | 8821824
BE.NMBS.008821832 | 8821832
BE.NMBS.008821857 | 8821857
BE.NMBS.008821865 | 8821865
BE.NMBS.008821907 | 8821907
BE.NMBS.008821964 | 8821964
BE.NMBS.008822004 | 8822004
BE.NMBS.008822053 | 8822053
BE.NMBS.008822111 | 8822111
BE.NMBS.008822137 | 8822137
BE.NMBS.008822145 | 8822145
BE.NMBS.008822160 | 8822160
BE.NMBS.008822210 | 8822210
BE.NMBS.008822228 | 8822228
BE.NMBS.008822251 | 8822251
BE.NMBS.008822269 | 8822269
BE.NMBS.008822277 | 8822277
BE.NMBS.008822343 | 8822343
BE.NMBS.008822426 | 8822426
BE.NMBS.008822459 | 8822459
BE.NMBS.008822475 | 8822475
BE.NMBS.008822517 | 8822517
BE.NMBS.008822525 | 8822525
BE.NMBS.008822533 | 8822533
BE.NMBS.008822608 | 8822608
BE.NMBS.008822715 | 8822715
BE.NMBS.008822772 | 8822772
BE.NMBS.008822814 | 8822814
BE.NMBS.008822848 | 8822848
BE.NMBS.008824158 | 8824158
BE.NMBS.008824224 | 8824224
BE.NMBS.008824232 | 8824232
BE.NMBS.008824240 | 8824240
BE.NMBS.008829009 | 8829009
BE.NMBS.008831005 | 8831005
BE.NMBS.008831039 | 8831039
BE.NMBS.008831088 | 8831088
BE.NMBS.008831112 | 8831112
BE.NMBS.008831138 | 8831138
BE.NMBS.008831310 | 8831310
BE.NMBS.008831401 | 8831401
BE.NMBS.008831765 | 8831765
BE.NMBS.008831781 | 8831781
BE.NMBS.008831807 | 8831807
BE.NMBS.008832003 | 8832003
BE.NMBS.008832045 | 8832045
BE.NMBS.008832227 | 8832227
BE.NMBS.008832235 | 8832235
BE.NMBS.008832243 | 8832243
BE.NMBS.008832250 | 8832250
BE.NMBS.008832334 | 8832334
BE.NMBS.008832375 | 8832375
BE.NMBS.008832409 | 8832409
BE.NMBS.008832433 | 8832433
BE.NMBS.008832458 | 8832458
BE.NMBS.008832565 | 8832565
BE.NMBS.008832573 | 8832573
BE.NMBS.008832615 | 8832615
BE.NMBS.008832664 | 8832664
BE.NMBS.008833001 | 8833001
BE.NMBS.008833050 | 8833050
BE.NMBS.008833126 | 8833126
BE.NMBS.008833134 | 8833134
BE.NMBS.008833159 | 8833159
BE.NMBS.008833175 | 8833175
BE.NMBS.008833209 | 8833209
BE.NMBS.008833233 | 8833233
BE.NMBS.008833258 | 8833258
BE.NMBS.008833266 | 8833266
BE.NMBS.008833274 | 8833274
BE.NMBS.008833308 | 8833308
BE.NMBS.008833449 | 8833449
BE.NMBS.008833605 | 8833605
BE.NMBS.008833670 | 8833670
BE.NMBS.008841004 | 8841004
BE.NMBS.008841202 | 8841202
BE.NMBS.008841319 | 8841319
BE.NMBS.008841327 | 8841327
BE.NMBS.008841400 | 8841400
BE.NMBS.008841434 | 8841434
BE.NMBS.008841442 | 8841442
BE.NMBS.008841459 | 8841459
BE.NMBS.008841467 | 8841467
BE.NMBS.008841525 | 8841525
BE.NMBS.008841558 | 8841558
BE.NMBS.008841608 | 8841608
BE.NMBS.008841665 | 8841665
BE.NMBS.008841673 | 8841673
BE.NMBS.008841731 | 8841731
BE.NMBS.008842002 | 8842002
BE.NMBS.008842036 | 8842036
BE.NMBS.008842051 | 8842051
BE.NMBS.008842630 | 8842630
BE.NMBS.008842648 | 8842648
BE.NMBS.008842655 | 8842655
BE.NMBS.008842663 | 8842663
BE.NMBS.008842689 | 8842689
BE.NMBS.008842705 | 8842705
BE.NMBS.008842754 | 8842754
BE.NMBS.008842838 | 8842838
BE.NMBS.008842846 | 8842846
BE.NMBS.008842853 | 8842853
BE.NMBS.008843067 | 8843067
BE.NMBS.008843133 | 8843133
BE.NMBS.008843141 | 8843141
BE.NMBS.008843158 | 8843158
BE.NMBS.008843166 | 8843166
BE.NMBS.008843174 | 8843174
BE.NMBS.008843208 | 8843208
BE.NMBS.008843224 | 8843224
BE.NMBS.008843240 | 8843240
BE.NMBS.008843307 | 8843307
BE.NMBS.008843323 | 8843323
BE.NMBS.008843331 | 8843331
BE.NMBS.008843349 | 8843349
BE.NMBS.008843406 | 8843406
BE.NMBS.008843430 | 8843430
BE.NMBS.008843901 | 8843901
BE.NMBS.008844008 | 8844008
BE.NMBS.008844057 | 8844057
BE.NMBS.008844206 | 8844206
BE.NMBS.008844230 | 8844230
BE.NMBS.008844255 | 8844255
BE.NMBS.008844271 | 8844271
BE.NMBS.008844313 | 8844313
BE.NMBS.008844321 | 8844321
BE.NMBS.008844339 | 8844339
BE.NMBS.008844347 | 8844347
BE.NMBS.008844404 | 8844404
BE.NMBS.008844420 | 8844420
BE.NMBS.008844503 | 8844503
BE.NMBS.008844545 | 8844545
BE.NMBS.008844628 | 8844628
BE.NMBS.008844644 | 8844644
BE.NMBS.008845005 | 8845005
BE.NMBS.008845146 | 8845146
BE.NMBS.008845203 | 8845203
BE.NMBS.008845229 | 8845229
BE.NMBS.008846201 | 8846201
BE.NMBS.008847258 | 8847258
BE.NMBS.008849023 | 8849023
BE.NMBS.008849064 | 8849064
BE.NMBS.008849072 | 8849072
BE.NMBS.008861119 | 8861119
BE.NMBS.008861127 | 8861127
BE.NMBS.008861135 | 8861135
BE.NMBS.008861143 | 8861143
BE.NMBS.008861150 | 8861150
BE.NMBS.008861168 | 8861168
BE.NMBS.008861200 | 8861200
BE.NMBS.008861317 | 8861317
BE.NMBS.008861333 | 8861333
BE.NMBS.008861416 | 8861416
BE.NMBS.008861424 | 8861424
BE.NMBS.008861432 | 8861432
BE.NMBS.008861440 | 8861440
BE.NMBS.008861515 | 8861515
BE.NMBS.008861523 | 8861523
BE.NMBS.008861531 | 8861531
BE.NMBS.008861549 | 8861549
BE.NMBS.008862018 | 8862018
BE.NMBS.008863008 | 8863008
BE.NMBS.008863115 | 8863115
BE.NMBS.008863156 | 8863156
BE.NMBS.008863354 | 8863354
BE.NMBS.008863362 | 8863362
BE.NMBS.008863404 | 8863404
BE.NMBS.008863438 | 8863438
BE.NMBS.008863446 | 8863446
BE.NMBS.008863453 | 8863453
BE.NMBS.008863461 | 8863461
BE.NMBS.008863503 | 8863503
BE.NMBS.008863545 | 8863545
BE.NMBS.008863560 | 8863560
BE.NMBS.008863818 | 8863818
BE.NMBS.008863834 | 8863834
BE.NMBS.008863842 | 8863842
BE.NMBS.008863867 | 8863867
BE.NMBS.008864006 | 8864006
BE.NMBS.008864311 | 8864311
BE.NMBS.008864337 | 8864337
BE.NMBS.008864345 | 8864345
BE.NMBS.008864352 | 8864352
BE.NMBS.008864410 | 8864410
BE.NMBS.008864436 | 8864436
BE.NMBS.008864451 | 8864451
BE.NMBS.008864469 | 8864469
BE.NMBS.008864501 | 8864501
BE.NMBS.008864816 | 8864816
BE.NMBS.008864824 | 8864824
BE.NMBS.008864832 | 8864832
BE.NMBS.008864915 | 8864915
BE.NMBS.008864923 | 8864923
BE.NMBS.008864931 | 8864931
BE.NMBS.008864949 | 8864949
BE.NMBS.008864956 | 8864956
BE.NMBS.008864964 | 8864964
BE.NMBS.008865003 | 8865003
BE.NMBS.008865110 | 8865110
BE.NMBS.008865128 | 8865128
BE.NMBS.008865227 | 8865227
BE.NMBS.008865300 | 8865300
BE.NMBS.008865540 | 8865540
BE.NMBS.008865565 | 8865565
BE.NMBS.008865615 | 8865615
BE.NMBS.008865649 | 8865649
BE.NMBS.008866001 | 8866001
BE.NMBS.008866118 | 8866118
BE.NMBS.008866142 | 8866142
BE.NMBS.008866175 | 8866175
BE.NMBS.008866258 | 8866258
BE.NMBS.008866407 | 8866407
BE.NMBS.008866530 | 8866530
BE.NMBS.008866605 | 8866605
BE.NMBS.008866654 | 8866654
BE.NMBS.008866662 | 8866662
BE.NMBS.008866845 | 8866845
BE.NMBS.008869047 | 8869047
BE.NMBS.008869054 | 8869054
BE.NMBS.008869088 | 8869088
BE.NMBS.008871100 | 8871100
BE.NMBS.008871175 | 8871175
BE.NMBS.008871183 | 8871183
BE.NMBS.008871217 | 8871217
BE.NMBS.008871225 | 8871225
BE.NMBS.008871308 | 8871308
BE.NMBS.008871332 | 8871332
BE.NMBS.008871365 | 8871365
BE.NMBS.008871373 | 8871373
BE.NMBS.008871381 | 8871381
BE.NMBS.008871415 | 8871415
BE.NMBS.008871514 | 8871514
BE.NMBS.008871605 | 8871605
BE.NMBS.008871647 | 8871647
BE.NMBS.008871662 | 8871662
BE.NMBS.008871670 | 8871670
BE.NMBS.008871688 | 8871688
BE.NMBS.008871712 | 8871712
BE.NMBS.008871811 | 8871811
BE.NMBS.008871829 | 8871829
BE.NMBS.008871837 | 8871837
BE.NMBS.008871852 | 8871852
BE.NMBS.008872009 | 8872009
BE.NMBS.008872066 | 8872066
BE.NMBS.008872306 | 8872306
BE.NMBS.008872413 | 8872413
BE.NMBS.008872520 | 8872520
BE.NMBS.008872553 | 8872553
BE.NMBS.008872579 | 8872579
BE.NMBS.008872587 | 8872587
BE.NMBS.008872611 | 8872611
BE.NMBS.008873007 | 8873007
BE.NMBS.008873122 | 8873122
BE.NMBS.008873239 | 8873239
BE.NMBS.008873312 | 8873312
BE.NMBS.008873320 | 8873320
BE.NMBS.008873379 | 8873379
BE.NMBS.008873387 | 8873387
BE.NMBS.008874005 | 8874005
BE.NMBS.008874054 | 8874054
BE.NMBS.008874559 | 8874559
BE.NMBS.008874567 | 8874567
BE.NMBS.008874583 | 8874583
BE.NMBS.008874609 | 8874609
BE.NMBS.008874716 | 8874716
BE.NMBS.008874724 | 8874724
BE.NMBS.008875002 | 8875002
BE.NMBS.008875127 | 8875127
BE.NMBS.008881000 | 8881000
BE.NMBS.008881125 | 8881125
BE.NMBS.008881158 | 8881158
BE.NMBS.008881166 | 8881166
BE.NMBS.008881174 | 8881174
BE.NMBS.008881190 | 8881190
BE.NMBS.008881315 | 8881315
BE.NMBS.008881406 | 8881406
BE.NMBS.008881430 | 8881430
BE.NMBS.008881455 | 8881455
BE.NMBS.008881463 | 8881463
BE.NMBS.008881505 | 8881505
BE.NMBS.008881562 | 8881562
BE.NMBS.008881570 | 8881570
BE.NMBS.008882107 | 8882107
BE.NMBS.008882206 | 8882206
BE.NMBS.008882230 | 8882230
BE.NMBS.008882248 | 8882248
BE.NMBS.008882339 | 8882339
BE.NMBS.008882362 | 8882362
BE.NMBS.008882701 | 8882701
BE.NMBS.008883006 | 8883006
BE.NMBS.008883022 | 8883022
BE.NMBS.008883113 | 8883113
BE.NMBS.008883121 | 8883121
BE.NMBS.008883212 | 8883212
BE.NMBS.008883220 | 8883220
BE.NMBS.008883238 | 8883238
BE.NMBS.008883311 | 8883311
BE.NMBS.008883436 | 8883436
BE.NMBS.008883808 | 8883808
BE.NMBS.008884004 | 8884004
BE.NMBS.008884319 | 8884319
BE.NMBS.008884327 | 8884327
BE.NMBS.008884335 | 8884335
BE.NMBS.008884350 | 8884350
BE.NMBS.008884541 | 8884541
BE.NMBS.008884566 | 8884566
BE.NMBS.008884632 | 8884632
BE.NMBS.008884640 | 8884640
BE.NMBS.008884715 | 8884715
BE.NMBS.008884855 | 8884855
BE.NMBS.008884889 | 8884889
BE.NMBS.008885001 | 8885001
BE.NMBS.008885068 | 8885068
BE.NMBS.008885522 | 8885522
BE.NMBS.008885530 | 8885530
BE.NMBS.008885704 | 8885704
BE.NMBS.008885753 | 8885753
BE.NMBS.008886009 | 8886009
BE.NMBS.008886041 | 8886041
BE.NMBS.008886058 | 8886058
BE.NMBS.008886066 | 8886066
BE.NMBS.008886074 | 8886074
BE.NMBS.008886348 | 8886348
BE.NMBS.008886504 | 8886504
BE.NMBS.008886546 | 8886546
BE.NMBS.008886553 | 8886553
BE.NMBS.008886561 | 8886561
BE.NMBS.008886587 | 8886587
BE.NMBS.008889011 | 8889011
BE.NMBS.008889045 | 8889045
BE.NMBS.008891009 | 8891009
BE.NMBS.008891033 | 8891033
BE.NMBS.008891116 | 8891116
